guuid	mlst
17f8eda0-e9fb-4662-ba09-3ab7f7b65c61	405
18061040-784b-45f3-8254-c5b9ad8fc7db	95
1813544a-51fe-4908-acc5-1d893d149f61	73
181c0928-46eb-4987-afba-49e7f7ca1f4c	131
182589b8-4c14-4420-95f2-c2f2e224ce30	131
1836f7b2-86c5-4526-b0c5-1ebbcbb08e61	421
1862e187-18c0-4a5a-a3ed-d2a6cc59826b	1193
18702cf1-0d2c-4d7f-bf89-0b455b01fbd4	58
185e8999-6e7d-4222-8105-b993fe204dfe	144
18822eb8-57a3-4159-b0a2-51389a72597c	73
188797d1-2ee5-416c-ae97-f46207a0f842	405
18a90cfc-b5e3-45de-874b-a2788f5d1c6e	405
188b0079-3303-492a-be18-5159bb49d6d2	95
18bdd1b0-3d55-42b8-b866-f8f7605f2521	95
18adfcf3-15df-4a11-abb1-ec43d828d978	131
18d83f04-778e-460b-ab9b-46c8d85fb817	-
18c87cda-8039-4fea-9a77-8de83b557c25	404
18e712f8-3d39-4c80-8e28-eda3e723d804	95
18f1e164-8efa-4a53-80d3-933330317637	69
18f603c4-62d1-460e-92c9-f7c5dc2da173	69
193dc72f-4161-4f21-95bf-12f45368908f	131
190f8720-420c-4ec6-8465-a7fb8d78cc03	131
1945e7f4-6fb8-475d-83f7-b7797c17c515	12
19528f6b-ac7a-43b3-81cd-70b74fad8407	8323
1953308f-29a1-49ba-bd61-af86233db2d3	5265
19a8e783-446f-4095-a583-93227a742b70	978
198add03-e621-45b1-8caf-481ea2dcaaa4	131
19ac1ef4-26a2-4f4a-a587-aab58c10b3a6	69
19b59042-86cc-4971-92ba-2cb3cc14d75f	12
19ba4821-ea34-467f-bd64-e305ad6a3793	12
19bf2fab-446a-44bb-8090-e1aa203d117e	131
19f369f3-405d-4093-becf-a369a3ed139f	-
19e32405-efa1-4b4a-a3e7-c5499dbeba59	69
19cf5be1-43af-48ca-997a-4f234b65771c	127
19e642f3-b6a3-4044-b4e5-e7e015bfcd2f	538
1a4c1e85-88cb-4d98-8865-3b55b9eee8a1	12
1a9453af-3f73-49c6-af95-1da1802e6876	1973
1a064d78-976a-4b03-9771-08923122e987	95
1a86a797-9e1b-4b55-90e7-cab13e5c00fe	69
1a6beacb-cf14-4ca0-a16e-81f9d01a5c40	12
1ab1803c-602d-4b9c-9549-bed784fcff72	12
1acb67a8-5af5-42d1-b21c-9930d7975397	1406
1b02b617-474f-4d07-a9a1-38c0696c8a98	942
1b06ceb4-031f-44da-927b-20e31889abbe	88
1b5e7e37-7f10-4d3f-a84d-1b2500bfcfb4	404
1b55ac76-f4fa-4612-b00d-c91d9427faf0	69
1ae54ae9-4f21-4c0f-8aa6-00138acca697	73
1b7d241d-01c8-4ba7-8bf3-f9365ddfad81	73
1b797eb0-c201-4dfb-8c95-855a58114b89	131
1ba344d4-e90c-4204-979d-ec8d6ebf30bb	73
1bc8ab59-3f2b-470f-84ac-c50fa1682136	38
1bee9b32-fba2-4870-abb3-520fe8afd174	131
1bc952b3-000e-4555-94be-bd5a52d86f77	12
1c039313-9d19-47fb-9c50-a4b690b82a1c	131
1c18c0ce-66fa-4495-bb55-84b8516a9fd0	539
1c46eed3-9071-4f12-81bc-187e52ed5cff	543
1c4e7c1d-4d5d-41c8-98ce-0ed19c3e2b04	127
1c553e59-1ab6-460d-b650-3d05314ddaaa	69
1c2a475f-944e-40b4-9540-9ad9fc777452	69
1c6a8d44-0b9d-4449-adba-3e84a715bd7d	131
1c910daf-1194-4358-810b-99f47a8df26f	-
1c9f6ed1-20ab-4c35-9c8c-dab6c3e5ba7c	69
1cb31680-e43f-44ce-967b-5b1cbce8f42b	48
1cde82fa-5fa6-42c6-9819-75b87636f6fe	646
1cf9edc6-0b34-4dc2-bd0a-bce613848420	95
1cffb9a1-04e0-46b7-93d8-152f1f8347fa	73
1d03a754-7f3a-4329-a30d-e2c131c172d1	12
1ceef0f1-fe05-4a23-bdc0-22aca386db89	73
1d0ede66-c6bc-461a-a372-48f6d2b37cc7	73
1d1eb0db-fc40-42b2-8432-51e10645cece	69
1d272145-4d1f-417e-b67a-39b60e1e815b	131
1d4ca1ea-a518-4ac4-8a40-fb430bf90abe	69
1d805149-4721-4bab-829a-d64049f6d74e	95
1d8bd4ba-914b-426d-994f-33de06bce224	69
